HebValue	EngValue
כהן	Cohen
לוי	Levi
מזרחי	Mizrahi
פרץ	Peretz
ביטון	Biton
דהן	Dahan
אברהם	Avraham
פרידמן	Fridman
מלכה	Malka
אזולאי	Azulay
כץ	Katz
יוסף	Yosef
דוד	David
אוחיון	Ohayon
חדד	Hadad
גבאי	Gabay
אדרי	Edri
לוין	Levin
טל	Tal
קליין	Klein
חן	Chen
שפירא	Shapira
חזן	Hazan
אשכנזי	Ashkenazi
אוחנה	Ohana
סגל	Segal
גולן	Golan
יצחק	Itzhak
בר	Bar
מור	Mor
יעקב	Yaakov
דיין	Dayan
אלבז	Elbaz
בכר	Bachar
סויסה	Suisa
רוזנברג	Rozenberg
לביא	Lavi
אטיאס	Atias
נחום	Nahum
שטרן	Shtern
ממן	Maman
שורץ	Shvartz
ששון	Sason
עובדיה	Ovadia
גרינברג	Grinberg
בן חמו	Ben Hemo
וקנין	Vaknin
אסולין	Asulin
מימון	Maimon
מאיר	Meir
פלדמן	Feldman
גולדשטיין	Goldshtein
ברוך	Baruch
וייס	Vais
אמסלם	Amsalem
עזרא	Ezra
גולדברג	Goldbegr
סלאמה	Salama
אברמוב	Abramov
קדוש	Kadosh
הראל	Harel
חיים	Haim
צור	Tzur
שוורץ	Shvartz
רז	Raz
שרון	Sharon
חסון	Hason
קורן	Koren
רבינוביץ	Rabinovich
לב	Lev
דדון	Dadon
דוידוב	Davidov
סופר	Sofer
יצחקי	Itzhaki
דניאל	Daniel
אהרוני	Aharoni
יחזקאל	Yehezkel
רחמים	Rahamim
מילר	Miler
קפלן	Kaplan
שושן	Shushan
ברק	Barak
אורן	Oren
גל	Gal
סולומון	Solomon
בנימין	Benyamin
הרשקוביץ	Hershkovitz
רוזן	Hazan
ברקוביץ	Berkovich
גרוס	Gros
נגר	Nagar
חיון	Chayun
שמואל	Shmuel
סלע	Sela
פלד	Peled
בן שושן	Ben Shushan
צרפתי	Tzarfati
שטרית	Shitrit
גוטמן	Gutman
עלי	Ali
אהרן	Aharon
פרנקל	Frenkel
זוהר	Zohar
שלו	Shalev
מויאל	Moyal
אלפסי	Alfasi
ברגר	Berger
פישר	Fisher
אליאס	Elias
זיו	Ziv
יעקובוב	Yakubov
ליפשיץ	Lifshitz
אדלר	Adler
קוגן	Cogan
פלג	Peleg
צדוק	Tzadok
שכטר	Sechter
רוזנפלד	Rozenfeld
מיכאלי	Michaeli
דרעי	Deri
לוגסי	Lugasi
פוקס	Fux
גולדמן	Goldman
ליבוביץ	Leybovich
ויצמן	Vaitzman
אהרון	Aharon
תורגמן	Turjeman
אביטן	Avitan
גואטה	Guetta
עטיה	Atia
דגן	Dagan
הלוי	Halevi
שמעוני	Shimoni
פולק	Polak
ברכה	Bracha
מנחם	Menahem
הררי	Harari
שקד	Shaked
יונס	Yunes
שטיין	Shtein
אברהמי	Avrahami
סלומון	Solomon
שמואלי	Shmueli
קרן	Keren
פרי	Peri
מלמד	Melamed
שגב	Segev
מרדכי	Mordechai
אילוז	Iluz
צברי	Tzabari
עומר	Omer
אביטל	Avital
שני	Shani
שיטרית	Shitrit
חביב	Haviv
בן עמי	Ben Ami
פנחס	Pinchas
קאופמן	Kaufman
חיימוב	Haimov
טויטו	Tuito
מרקוביץ	Markovich
יונה	Yona
שדה	Sade
רוזנטל	Rozental
אלימלך	Elimelech
שניידר	Shnaider
דרור	Dror
בן סימון	Ben Simon
אברמוביץ	Abramovich
דנינו	Danino
סבן	Saban
סעדי	Saadi
בן משה	Ben Moshe
כחלון	Kachlon
בוסקילה	Buskila
שלמה	Shlomo
אשר	Asher
יעקבי	Yaakovi
גוטליב	Gotliv
זהבי	Zehavi
דביר	Dvir
פינטו	Pinto
פורת	Porat
זילברמן	Zilberman
רביבו	Revivo
אלקיים	Elkayam
ברנשטיין	Bernshtein
ספיר	Sapir
שמיר	Shamir
גולדנברג	Goldenberg
אלקובי	Alkobi
רובינשטיין	Rubinshtein
דויטש	Doitsh
רגב	Regev
אביב	Aviv
וולף	Wolf
שבתאי	Shatai
ברדה	Barda
פאר	Peer
רון	Chen
ארז	Erez
הלל	Hilel
מטר	Matar
הורוביץ	Horovitz
עמרם	Amram
נתן	Natan
הופמן	Hofman
זמיר	Zamir
הירש	Hirsh
גורן	Goren
מנצור	Mantzur
גרוסמן	Grossman
דמרי	Damari
הדר	Hadar
בראון	Braun
לרנר	Lerner
סרוסי	Sarusi
גרין	Grin
ווקנין	Vaknin
שריקי	Shriki
ברמן	Berkman
נוימן	Noiman
רונן	Ronen
אפשטיין	Epshtein
זינגר	Zinger
משיח	Mashiach
אבוטבול	Abutbul
גמליאל	Gamliel
נחמיאס	Nachmias
זגורי	Zaguri
מאור	Maor
ניר	Nir
עוזרי	Ozeri
פישמן	Fishman
שמעון	Shimon
יעקובי	Yaakobi
להב	Lahav
אמיר	Amir
שגיא	Sagi
גור	Gur
צמח	Tzemach
קרמר	Kremer
בן עזרא	Ben Ezra
משולם	Meshulam
אבני	Avni
חי	Chai
שפר	Shefer
וינברג	Vainberg
בלום	Blum
ברזילי	Barzilay
דקל	Dekel
מכלוף	Machluf
זהר	Zohar
כרמי	Karmi
מזור	Mazor
טולדנו	Toledano
פחימה	Fachima
גליק	Glik
ויס	Vais
אופיר	Ofir
אלוני	Aloni
יפת	Yefet
לנדאו	Landao
מוסקוביץ	Moskovich
שטיינברג	Shtainberg
כספי	Kaspi
שי	Shay
רוטמן	Rotman
רוטנברג	Rotenberg
דורון	Doron
מרציאנו	Martziano
אלמוג	Almog
מושקוביץ	Moshkovich
שביט	Shavit
מרום	Marom
וינר	Vainer
נאור	Naor
עוז	Oz
מוזס	Moses
קינן	Keinan
שרף	Sharf
חלפון	Chalfon
איסקוב	Isakov
פדידה	Fadida
רזניק	Reznik
מסיקה	Mesika
ניסן	Nisan
יעקובוביץ	Yakubovich
שולמן	Shulman
תמיר	Tamir
עזר	Ezer
אלוש	Alush
הורביץ	Horvitz
גולאני	Golani
עמירה	Amira
פוגל	Fogel
בשיר	Bashir
מנדל	Mendel
ימין	Yamin
סיני	Sinai
גורדון	Gordon
גלעד	Gilad
פורמן	Forman
גיל	Gil
פינקלשטיין	Finkelshtein
נבון	Navon
דבש	Dabash
פרקש	Farkash
ויסמן	Weisman
עמית	Amit
אור	Or
ירושלמי	Yerushalmi
רפאל	Rafael
ארליך	Erlich
